danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,label,row_index,genre_phase
0.569,0.459,1.0,-6.354,0.0,0.355,0.0648,0.0,0.168,0.0649,107.253,5.0,145245.0,1,0,9679,3
0.741,0.787,5.0,-6.228,1.0,0.0525,0.217,0.0179,0.0835,0.771,91.993,4.0,255680.0,0,0,9680,3
0.727,0.526,6.0,-6.307,1.0,0.0378,0.693,0.0,0.116,0.681,105.086,4.0,198280.0,0,1,9681,3
0.708,0.631,9.0,-5.977,1.0,0.196,0.646,0.0,0.342,0.851,83.813,4.0,60000.0,0,0,9682,3
0.443,0.668,11.0,-12.031,1.0,0.294,0.693,0.000443,0.0579,0.512,98.072,4.0,215536.0,0,0,9683,3
0.657,0.515,0.0,-9.965,1.0,0.0811,0.0843,3.4e-06,0.164,0.667,168.306,4.0,241560.0,0,0,9684,3
0.586,0.545,2.0,-8.649,1.0,0.0283,0.638,1.19e-06,0.2,0.5,111.191,4.0,205659.0,0,0,9685,3
0.514,0.495,11.0,-6.806,0.0,0.0333,0.724,0.0,0.227,0.756,110.839,3.0,158586.0,0,0,9686,3
0.765,0.294,2.0,-7.257,0.0,0.06,0.816,0.0,0.138,0.415,82.064,4.0,223305.0,0,0,9687,3
0.812,0.855,7.0,-3.725,1.0,0.0554,0.0789,0.000167,0.108,0.573,90.04,4.0,192477.0,1,0,9688,3
0.83,0.623,6.0,-4.056,1.0,0.0801,0.0219,0.0,0.0812,0.614,101.036,4.0,223366.0,1,0,9689,3
0.579,0.883,6.0,-5.919,0.0,0.0567,0.00598,0.0318,0.163,0.822,129.045,4.0,208186.0,0,0,9690,3
0.843,0.731,11.0,-5.583,0.0,0.134,0.259,0.0,0.306,0.636,93.013,4.0,238106.0,1,0,9691,3
0.604,0.687,1.0,-8.575,1.0,0.45,0.339,0.000116,0.12,0.372,120.33,5.0,163813.0,1,0,9692,3
0.546,0.983,1.0,-3.904,0.0,0.0764,0.1,4.14e-05,0.13,0.604,107.426,4.0,261880.0,0,0,9693,3
0.857,0.664,1.0,-6.189,1.0,0.0856,0.00519,0.000492,0.134,0.637,118.972,4.0,184724.0,0,0,9694,3
0.786,0.824,5.0,-5.405,0.0,0.055,0.255,0.000447,0.267,0.62,95.984,4.0,235671.0,0,0,9695,3
0.677,0.752,11.0,-3.975,1.0,0.384,0.235,0.0,0.189,0.455,192.037,4.0,275000.0,0,0,9696,3
0.549,0.739,2.0,-5.287,1.0,0.263,0.136,0.0,0.0409,0.512,68.628,3.0,205048.0,1,0,9697,3
0.69,0.815,7.0,-4.696,1.0,0.0394,0.215,1.67e-05,0.205,0.885,92.983,4.0,251146.0,0,0,9698,3
0.791,0.687,1.0,-6.279,1.0,0.104,0.00665,2.12e-06,0.0986,0.513,130.154,4.0,190153.0,1,1,9699,3
0.85,0.66,11.0,-4.846,0.0,0.169,0.417,5.14e-05,0.209,0.622,101.947,4.0,239893.0,1,0,9700,3
0.966,0.509,7.0,-7.559,0.0,0.123,0.496,0.0,0.0799,0.646,108.013,4.0,186952.0,1,1,9701,3
0.888,0.566,2.0,-5.136,1.0,0.403,0.13,0.0,0.121,0.488,142.974,4.0,134137.0,1,0,9702,3
0.708,0.852,8.0,-5.484,1.0,0.0374,0.0551,0.000386,0.108,0.722,108.514,4.0,284720.0,0,0,9703,3
0.85,0.573,8.0,-6.759,1.0,0.274,0.0439,0.0,0.0871,0.49,88.05,4.0,184090.0,0,1,9704,3
0.832,0.657,7.0,-7.755,1.0,0.209,0.0433,2.93e-05,0.0752,0.756,104.005,4.0,134351.0,0,0,9705,3
0.687,0.675,7.0,-7.093,1.0,0.0578,0.337,6.64e-06,0.357,0.682,149.996,4.0,154431.0,0,0,9706,3
0.571,0.924,9.0,-4.727,1.0,0.197,0.179,4.07e-06,0.719,0.5,121.056,4.0,292186.0,0,0,9707,3
0.904,0.817,8.0,-3.956,1.0,0.0871,0.0254,0.000141,0.232,0.753,101.988,4.0,217361.0,0,0,9708,3
0.888,0.566,2.0,-5.136,1.0,0.403,0.13,0.0,0.121,0.488,142.974,4.0,134137.0,1,0,9709,3
0.545,0.654,11.0,-14.689,0.0,0.0493,0.22,3.3e-05,0.693,0.576,96.094,4.0,260174.0,0,0,9710,3
